biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. Maestro Manuel Mirabal,,4035,Pasaje sin nombre  San Lorenzo,Coronel Juan Solá,Salta,-23.469784,-62.886242
Bib.Pop. Marina Vilte,Capital,3733,25 de mayo 686 Oeste,Capital,San Juan,-31.531883,-68.5272
Bib.Pop. José I. de la Roza,Capital,3294,Gral.Acha 65/67 Sur 1° Piso  ,San Juan,San Juan,-31.534933,-68.52455
Bib.Pop. Américas,Capital,3213,Santa Fé (Oeste) 136 ,San Juan,San Juan,-31.539167,-68.527483
Bib.Pop. Camilo Rojo,Capital,2242,Santa Fé (Este) 375 ,San Juan,San Juan,-31.5388,-68.520233
Bib.Pop. José Chirapozu,Capital,1510,Avda. Libertador 248 ,San Juan,San Juan,-31.534567,-68.529567
Bib.Pop. Bartolomé Mitre,Capital,0700,Mendoza (Norte) 931 ,San Juan,San Juan,-31.522417,-68.52755
Bib.Pop. Sociedad Franklin,Capital,0704,Laprida 63 (Este  ,San Juan,San Juan,-31.535433,-68.525
Bib.Pop.Arbolito,Capital,4432,12 de octubre 755 Villa Carolina,Trinidad,San Juan,-31.555574843049975,-68.51303591359418
Bib.Pop. Pedro Guerrero,9 De Julio,3519,Sarmiento  ,Villa 9 de Julio,San Juan,-31.491058,-68.540443
Bib.Pop. Emilio García y Negrete,Albardon,3065,Misiones 99 ,Albardón,San Juan,-31.4396,-68.52105
Bib. Pop. Paula Albarracín de Sarmiento,Chimbas,4372,Justo Olmos (Norte) 1596 Villa Unión,Chimbas,San Juan,-31.507755,-68.546026
Juana Azurduy,Chimbas,4390,Sarmiento Norte 185 Villa El Salvador,chimbas,San Juan,-31.508640476604345,-68.53399735707902
Bib.Pop. Las Flores,Iglesia,2620,Caseros s/n  ,Las Flores,San Juan,-30.316771,-69.200142
Bib.Pop. D.F.Sarmiento,Jachal,0702,San Martin 702 ,Jachal,San Juan,-30.241476,-68.746696
Bib.Pop. Dr. Antonino Aberastain,Pocito,1729,Calle 8 esq. Costa Canal  ,Villa Aberastaín,San Juan,-31.652367,-68.576983
Bib.Pop. Alfonsina Storni,Rawson,4093,Bahía Blanca y Paso de los Andes s/n  Villa Angélica,Rawson,San Juan,-31.560301,-68.5625
Bib.Pop. Roberto J. Payro,Rawson,4064,Castaño (O) 207 Villa Las Rosas,Capitán Lazo,San Juan,-31.562643,-68.5392
Bib. Pop. La sociedad de los patriotas nóveles,Rawson,3998,República del Líbano y España - Galería San Martín  ,Rawson,San Juan,-31.566067,-68.5346
Bib. Pop. Mariano Moreno,Rawson,3693,Santa Rosa 4257 ,Villa Krause,San Juan,-31.582217,-68.5431
Bib.Pop. Cervantes,Rawson,3108,General Acha s/n  ,Colonia Rodas,San Juan,-31.582017,-68.541467
Bib.Pop. Dr. Antonio Aguilar,Rawson,3133,Abraham Tapia (Sur) 1380 ,Trinidad,San Juan,-31.549688,-68.523239
